,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Pos_C,Pos_CB,Pos_DB,Pos_DE,Pos_DL,Pos_DT,Pos_EDGE,Pos_FB,Pos_FS,Pos_ILB,Pos_K,Pos_LB,Pos_LS,Pos_OG,Pos_OL,Pos_OLB,Pos_OT,Pos_P,Pos_QB,Pos_RB,Pos_S,Pos_SS,Pos_TE,Pos_WR,Drafted
201,74,246.0,4.68,31.0,19.0,110.0,7.25,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203,72,196.0,4.5,38.0,16.0,127.0,6.87,4.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,75,294.0,4.87,33.0,31.0,113.0,7.53,4.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,76,319.0,4.99,25.0,25.0,97.0,7.4,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,77,304.0,5.03,29.0,26.0,106.0,7.22,4.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,76,306.0,5.25,29.5,35.0,93.0,7.5,4.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,72,209.0,4.65,38.5,15.0,118.0,7.02,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
217,79,315.0,5.37,22.5,18.0,96.0,7.65,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
219,73,178.0,4.51,33.5,11.0,121.0,6.75,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
223,77,270.0,4.71,30.5,19.0,115.0,7.18,4.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,76,245.0,4.68,34.0,27.0,113.0,6.72,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
230,72,204.0,4.4,37.0,16.0,114.0,6.82,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
233,72,191.0,4.56,37.0,15.0,114.0,6.95,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,77,320.0,5.76,23.5,19.0,87.0,8.58,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
236,71,195.0,4.4,36.0,15.0,120.0,6.77,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240,74,215.0,4.59,36.0,21.0,124.0,6.94,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,75,313.0,5.1,32.0,30.0,100.0,7.83,4.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
243,77,316.0,5.21,29.5,27.0,113.0,7.42,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
244,71,186.0,4.4,39.5,12.0,126.0,6.64,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,76,252.0,4.65,34.0,23.0,114.0,7.29,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
248,77,319.0,5.52,22.5,19.0,90.0,8.24,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,76,252.0,4.93,30.5,24.0,109.0,7.48,4.63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,74,285.0,5.11,28.0,19.0,100.0,7.81,4.78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
257,75,300.0,5.03,34.0,26.0,112.0,7.67,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
262,74,218.0,4.5,36.0,15.0,119.0,6.89,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
265,76,307.0,5.03,35.5,32.0,105.0,7.21,4.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,71,220.0,4.34,40.5,26.0,124.0,6.91,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
269,70,199.0,4.42,35.0,17.0,120.0,7.12,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
270,75,263.0,4.73,37.0,29.0,121.0,6.91,4.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,77,300.0,5.15,25.0,27.0,98.0,7.6,4.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,77,324.0,5.31,26.5,28.0,94.0,7.95,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
274,76,330.0,5.16,29.0,31.0,102.0,7.68,4.78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,72,192.0,4.41,34.5,19.0,126.0,6.82,4.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,71,245.0,4.84,32.0,19.0,105.0,7.44,4.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
283,75,248.0,4.76,35.5,20.0,110.0,7.08,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
284,75,250.0,4.7,33.0,20.0,115.0,7.02,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
285,75,314.0,5.12,29.0,34.0,98.0,7.61,4.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,77,300.0,5.52,26.0,24.0,94.0,7.98,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
288,80,312.0,5.06,33.5,32.0,109.0,7.4,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
289,70,189.0,4.52,32.0,11.0,116.0,6.7,4.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,71,183.0,4.69,34.0,12.0,113.0,7.11,4.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
292,75,300.0,5.19,27.0,24.0,101.0,7.6,4.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,76,291.0,5.21,30.0,25.0,107.0,7.4,4.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
298,78,311.0,5.25,29.5,33.0,114.0,7.52,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
299,73,240.0,4.55,40.0,24.0,134.0,7.06,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
300,73,239.0,4.62,40.0,34.0,123.0,6.99,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
301,78,307.0,5.42,29.0,29.0,105.0,7.67,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
303,74,209.0,4.49,33.5,18.0,115.0,6.69,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
305,73,197.0,4.52,38.0,19.0,118.0,6.79,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
306,74,327.0,5.19,32.0,27.0,96.0,7.88,4.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,70,188.0,4.4,33.0,11.0,118.0,7.0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
309,73,221.0,4.53,33.5,8.0,116.0,6.9,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
310,76,210.0,4.5,36.5,15.0,125.0,6.81,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
311,77,315.0,4.81,34.5,23.0,113.0,7.64,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
316,76,250.0,4.7,36.5,23.0,115.0,7.32,4.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
318,73,223.0,4.64,34.0,13.0,118.0,6.88,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
321,73,254.0,4.65,38.0,24.0,114.0,6.95,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
323,71,206.0,4.44,37.5,14.0,119.0,6.95,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
